barcode_hashed,age_days,full_cap_min,pct_lvl_max,min_dchrg_fcc,dchrg_diff,EBL,total_chrg_cnt,cnt_USB_chrg,shtdn_total,btlow_total,call_drop_sum,call_tot_mins,calls_tot,msgs_tot,pics_tot,sst_poor_time_ratio,ratio_3G,ratio_4G,ratio_5G,wifi_hrs,wifi_connections,mobile_rx_MB,mobile_tx_MB,son_hrs,primary_mem_free_MB,bt_conns,CRASH_total,full_cap_min_ratio,pct_lvl_max_ratio,min_dchrg_fcc_ratio,dchrg_diff_ratio,EBL_ratio,total_chrg_cnt_ratio,cnt_USB_chrg_ratio,shtdn_total_ratio,btlow_total_ratio,call_drop_sum_ratio,call_tot_mins_ratio,calls_tot_ratio,msgs_tot_ratio,pics_tot_ratio,sst_poor_time_ratio_ratio,ratio_3G_ratio,ratio_4G_ratio,ratio_5G_ratio,wifi_hrs_ratio,wifi_connections_ratio,mobile_rx_MB_ratio,mobile_tx_MB_ratio,son_hrs_ratio,primary_mem_free_MB_ratio,bt_conns_ratio,CRASH_total_ratio
d3a7ac98afd8c71238f6a79343e5525d4a2b8fb554d58bad958e3383f367d5da,1037,-1.0,86.75,-1.0,72.0,27.75,3.75,2.75,0.0,3.0,0.0,0.0,,,,32.545,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,30507.0,0.0,1.75,1.0,1.0412,1.0,1.0282,0.9138,0.875,1.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.2082,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.1422,0.0,0.75
da3e4cf1ad6edcd19e50040fb02c41c7e2d3c13f4d57ca0aa3744be3eb4db432,1034,4901750.0,69.5,5007000.0,61.0,31.75,7.25,0.0,1.0,4.25,0.25,0.75,4.5,112.75,3.25,3.1075,2.4125,97.535,0.0,19.5,11.0,127.5,15.0,5.25,5927.25,2.0,5.75,0.958,1.1385,1.0,1.0333,0.5679,0.381,0.0,1.0,0.3077,0.0,2.0,3.5,1.5771,3.3333,0.221,2.7843,0.9769,0.0,1.0526,1.2,0.8214,1.0,1.3333,1.1369,0.1429,1.0909
404855906cc4cb6ba1cc75a6942e02d765b903a1ca4dd2ca6c22e38275456589,1192,-1.0,84.0,4000.0,97.0,17.0,16.0,0.0,1.0,7.0,0.0,3.0,4.0,306.0,1.0,23.29,0.83,99.12,0.0,13.0,19.0,0.0,0.0,10.0,5313.0,0.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
9d8ecd158c4b61e18f12fb1ff2026ede0b3c291180702c2018f80895b1391f99,230,-1.0,59.0,-1.0,50.0,39.0,4.0,1.0,1.0,3.0,0.0,0.0,,,,6.45,3.48,21.81,0.0,2.0,0.0,0.0,0.0,5.0,16843.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
f3f8347879c6ab0cae4dc1bf982c7ecf9ba56af6561c0bdb97c5c48b757f1024,1820,3406902.0,99.0,3500.0,58.5,30.25,2.75,0.0,0.0,1.0,0.25,4.75,13.25,59.5,9.75,2.7425,0.3675,99.5225,0.0,2.0,0.0,32.75,7.75,2.75,76795.5,6.25,20.25,1.0169,1.0204,1.0,0.8425,1.283,0.8333,0.0,0.0,1.0,0.0,0.9,0.7667,1.5319,1.1667,0.7751,1.1304,0.9992,0.0,1.0,0.0,0.7237,0.4762,0.8333,0.9323,0.3158,19.25
25cc724c1d5a867c44a6d2215246152f5fbabc5cf16a9335f694ae8c150da4f4,630,5010.0,88.25,5010.0,40.75,33.75,2.75,0.0,2.0,0.25,0.25,15.5,22.25,35.5,1.0,3.0825,99.9275,0.0,0.0,15.25,3.5,1333.75,71.25,3.25,76064.5,1.75,2.0,1.0,1.0057,1.0,0.8315,1.3684,0.5714,0.0,1.0,0.0,0.0,1.3846,0.78,0.775,0.0,3.3263,0.9994,0.0,0.0,1.1034,0.2727,1.0583,1.767,0.8571,1.1582,0.4,1.0
0574b6df4172a9aab98352cf7b74e882c1b182927483d8b756ba387a2c4983aa,973,-1.0,77.75,5000.0,90.5,24.5,18.0,0.75,1.25,11.75,0.0,0.5,2.0,23.0,24.0,52.46,42.91,56.9175,0.0,15.0,10.25,197.0,53.5,9.75,8631.0,1.25,1.75,1.0,1.0461,1.0,1.0925,0.8148,0.1803,2.0,1.5,0.1463,0.0,1.0,0.6,1.3,0.5238,1.1491,1.037,0.9737,0.0,1.069,0.7083,0.2834,0.2814,1.1667,5.6239,0.0,1.3333
5958cecd5b497f663dd38c53d3fb643859eb86b1a653e5960da2bc3dd834f2fc,236,-1.0,87.75,-1.0,17.25,42.0,8.0,0.25,0.75,1.0,0.0,0.0,,,,6.5275,14.5325,84.7225,0.0,2.0,0.0,0.0,0.0,2.5,7588.75,0.0,5.5,1.0,0.95,1.0,0.8158,0.8261,0.8824,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0798,0.1746,1.285,0.0,1.0,0.0,0.0,0.0,1.0,0.8942,0.0,0.8333
97f2cd5fb4b241422d500ff03b08b9c487f2f34cac0624fff90b6e3788d1f859,494,-1.0,95.75,-1.0,84.0,27.25,1.25,0.0,0.25,1.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.5,89271.0,0.0,1.25,1.0,1.0158,1.0,1.0241,1.0185,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0195,0.0,1.5
49b57c544585e8ada838f4eb2df8ca62d6ce05eb5799e917737054b7c20404cf,1418,3000.0,89.25,-1.0,82.0,48.25,3.0,0.0,0.25,1.25,0.0,0.0,,,,16.057499999999997,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,17277.5,0.0,2.5,1.0,0.9724,1.0,0.9879,1.0316,0.7143,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.7931,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0136,0.0,1.0
